"Number","YearFrom","Theme","ThemeGroup","Subtheme","SetName","ImageFilename","USRetailPrice","Pieces","Minifigs","PackagingType","OwnCount","WantCount"
"1261",2000,"Duplo","Pre-school","Little Forest Friends","Tea With Bumble Bee","1261-1",5,10,2,"{Not specified}",76,52
"1263",2000,"Seasonal","Miscellaneous","Easter","Easter Bunny","1263-1",3,27,0,"Polybag",351,181
"1272",2000,"Town","Modern day","Race","Blue Racer","1272-1",3.95,23,1,"Box",396,206
"1349",2000,"Studios","Modern day","","Steven Spielberg Moviemaker Set","1349-1",180,442,7,"Box",1366,877
"2077",2000,"Baby","Pre-school","","My Bumble Bee","2077-1",10,12,0,"{Not specified}",38,33
"2250",2000,"Basic","Basic","Seasonal","Advent Calendar","2250-1",20,240,0,"Box",375,136
"2297",2000,"Duplo","Pre-school","","Cute Building Animals","",7,11,0,"{Not specified}",36,22
"2400",2000,"Duplo","Pre-school","","Cute Building Vehicles","",15,31,1,"{Not specified}",26,24
"2477",2000,"Duplo","Pre-school","","Basic Building Set","",6,30,0,"{Not specified}",21,21
"2503",2000,"Baby","Pre-school","","Musical Apple","2503-1",10,2,0,"{Not specified}",63,37
"2514",2000,"Baby","Pre-school","","Activity Friends","2514-1",13,9,0,"{Not specified}",57,32
"2517",2000,"Baby","Pre-school","","My Rattle Friends","2517-1",6,3,0,"{Not specified}",63,29
"2522",2000,"Baby","Pre-school","","Play Book","2522-1",10,2,1,"{Not specified}",57,39
"2524",2000,"Baby","Pre-school","","My Racing Bugs","2524-1",10,4,0,"{Not specified}",59,33
"2526",2000,"Baby","Pre-school","","Tim & Tom's Adventure","2526-1",8,1,1,"{Not specified}",63,48
"2587",2000,"Baby","Pre-school","","Play Train","",6,6,1,"{Not specified}",34,29
"2589",2000,"Baby","Pre-school","","Timmy on Tour Stack 'n' Learn","2589-1",6,9,1,"{Not specified}",45,32
"2591",2000,"Baby","Pre-school","","Happy Explorers Stack 'n' Learn","2591-1",13,17,2,"{Not specified}",43,30
"2592",2000,"Baby","Pre-school","Disney's Baby Mickey","Baby Mickey & Baby Minnie","2592-1",20,18,2,"{Not specified}",45,45
"2593",2000,"Baby","Pre-school","Disney's Baby Mickey","Baby Mickey","2593-1",10,8,1,"{Not specified}",43,43
"2594",2000,"Baby","Pre-school","Disney's Baby Mickey","Baby Mickey & Baby Minnie Playground","2594-1",15,9,2,"{Not specified}",48,46
"2825",2000,"Duplo","Pre-school","Little Forest Friends","The Meadowsweets","2825-1",10,15,2,"Box",63,42
"2827",2000,"Duplo","Pre-school","Little Forest Friends","Read, Listen and Play Box","",25,38,5,"{Not specified}",34,35
"2904",2000,"Action Wheelers","Pre-school","","Motorbike","2904-1",10,11,1,"{Not specified}",168,73
"2909",2000,"Action Wheelers","Pre-school","","Helicopter","2909-1",15,18,1,"{Not specified}",130,72
"2912",2000,"Action Wheelers","Pre-school","","Radical Racer","2912-1",20,16,1,"{Not specified}",135,71
"2913",2000,"Action Wheelers","Pre-school","","Construction","2913-1",30,29,2,"{Not specified}",106,79
"2914",2000,"Action Wheelers","Pre-school","","Rescue Base","2914-1",50,44,3,"{Not specified}",77,84
"2916",2000,"Action Wheelers","Pre-school","","MyBot","2916-1",50,31,1,"{Not specified}",157,74
"2931",2000,"Duplo","Pre-school","Trains","Push Locomotive","2931-1",15,10,1,"{Not specified}",117,52
"2932",2000,"Duplo","Pre-school","Trains","Train Starter Set with Motor","2932-1",50,29,3,"{Not specified}",99,53
"2933",2000,"Duplo","Pre-school","Trains","Deluxe Train Set with Motor","2933-1",100,75,3,"{Not specified}",116,68
"2936",2000,"Duplo","Pre-school","Trains","Train Station","2936-1",30,40,3,"{Not specified}",68,52
"2937",2000,"Duplo","Pre-school","Trains","Supplementary Wagon","2937-1",9,9,1,"{Not specified}",58,44
"2938",2000,"Duplo","Pre-school","Trains","Train Tunnel","2938-1",15,14,1,"{Not specified}",174,90
"2942",2000,"Duplo","Pre-school","","Play House","2942-1",70,73,4,"{Not specified}",45,47
"2967",2000,"Duplo","Pre-school","","Special Tubes","2967-1",15,37,1,"{Not specified}",72,39
"2968",2000,"Duplo","Pre-school","","Animal Safari","2968-1",20,48,1,"{Not specified}",44,29
"2989",2000,"Duplo","Pre-school","Winnie the Pooh","Pooh's Honeypot","2989-1",20,44,2,"{Not specified}",70,62
"2990",2000,"Duplo","Pre-school","Winnie the Pooh","Tigger's Tree-House","2990-1",20,33,2,"{Not specified}",85,64
"3049",2000,"Duplo","Pre-school","","XL Idea Bucket","3049-1",15,78,1,"Bucket",32,28
"3057",2000,"Books","Miscellaneous","LEGO","Create 'N' Race","3057-1",20,105,0,"Box",242,100
"3058",2000,"Books","Miscellaneous","LEGO","Busy City","3058-1",20,73,0,"Box",297,156
"3059",2000,"Books","Miscellaneous","LEGO","Mars Mission","3059-1",20,85,1,"Box",341,164
"3099",2000,"Duplo","Pre-school","","Duplo Storage Chest","3099-1",20,142,0,"{Not specified}",133,27
"3148",2000,"Scala","Girls","Dolls","Carla's Winter Camp","3148-1",38,167,1,"{Not specified}",99,90
"3149",2000,"Scala","Girls","Dolls","Happy Home","3149-1",100,265,3,"{Not specified}",78,64
"3150",2000,"Scala","Girls","Dolls","Puppy Playground","3150-1",8,35,0,"{Not specified}",141,48
"3151",2000,"Scala","Girls","Dolls","Emma on the Move","3151-1",15,65,1,"{Not specified}",82,46
"3152",2000,"Scala","Girls","Dolls","Playroom for the Baby Thomas","3152-1",15,81,1,"{Not specified}",101,49
"3155",2000,"Scala","Girls","Dolls","Olivia in Smooth Dress","3155-1",9,6,1,"{Not specified}",51,41
"3156",2000,"Scala","Girls","Dolls","Hot Wear for Woman","3156-1",5,3,0,"{Not specified}",52,39
"3157",2000,"Scala","Girls","Dolls","Cool Wear for Girls","3157-1",5,2,0,"{Not specified}",45,37
"3158",2000,"Scala","Girls","Dolls","Christian in Tough Wear","3158-1",9,7,1,"{Not specified}",63,53
"3159",2000,"Scala","Girls","Dolls","Celebration","3159-1",5,41,0,"{Not specified}",105,42
"3340",2000,"Star Wars","Licensed","Minifig Pack","Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader","3340-1",5,32,3,"Box",1622,2692
"3341",2000,"Star Wars","Licensed","Minifig Pack","Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett","3341-1",5,22,3,"Box",1605,2666
"3342",2000,"Star Wars","Licensed","Minifig Pack","Star Wars #3 - Chewbacca and 2 Biker Scouts","3342-1",5,22,3,"Box",1513,2432
"3343",2000,"Star Wars","Licensed","Minifig Pack","Star Wars #4 - Battle Droid Commander and 2 Battle Droids","3343-1",5,30,3,"Box",1518,2252
"3346",2000,"Castle","Historical","Ninja","Three Minifig Pack - Ninja #3","3346-1",5,22,3,"Box",319,766
"3347",2000,"Rock Raiders","Action/Adventure","","Mini Heroes Collection: Rock Raiders #1","3347-1",2.99,8,1,"Box",274,539
"3350",2000,"Town","Modern day","City","Three Minifig Pack - City #1","3350-1",5,24,3,"Box",200,329
"3351",2000,"Town","Modern day","City","Three Minifig Pack - City #2","3351-1",5,21,3,"Box",267,329
"3401",2000,"Sports","Modern day","Football","Shoot 'n' Score","3401-1",6,22,2,"Box",1326,237
"3402",2000,"Sports","Modern day","Football","Stand with Lights","3402-1",10,62,2,"Box",1439,359
"3403",2000,"Sports","Modern day","Football","Fans' Grandstand with Scoreboard","3403-1",15,81,3,"Box",1943,355
"3404",2000,"Sports","Modern day","Football","Black Team Bus","3404-1",20,127,6,"Box",582,370
"3405",2000,"Sports","Modern day","Football","Blue Team Bus","3405-1",20,131,6,"Box",678,333
"3406",2000,"Sports","Modern day","Football","Americas Team Bus","3406-1",20,133,6,"Box",895,316
"3407",2000,"Sports","Modern day","Football","Red Team Bus","3407-1",20,133,6,"Box",625,329
"3408",2000,"Sports","Modern day","Football","Super Sports Coverage","3408-1",30,222,5,"Box",1460,390
"3409",2000,"Sports","Modern day","Football","Championship Challenge","3409-1",50,294,12,"Box",3486,426
"3410",2000,"Sports","Modern day","Football","Field Expander","3410-1",15,49,4,"Box",545,278
"3411",2000,"Sports","Modern day","Football","Team Transport","3411-1",20,131,6,"Box",481,203
"3412",2000,"Sports","Modern day","Football","Point Shooting","3412-1",5,24,1,"Box",781,257
"3413",2000,"Sports","Modern day","Football","Goalkeeper","3413-1",5,27,1,"Box",871,259
"3414",2000,"Sports","Modern day","Football","Precision Shooting","3414-1",5,24,1,"Box",968,242
"3439",2000,"Town","Modern day","Special","Spy Runner","3439-1",10,107,2,"Box",608,348
"3443",2000,"Basic","Basic","Mosaic","LEGO Mosaic","3443-1",30,2427,0,"{Not specified}",132,163
"3444",2000,"Bulk Bricks","Basic","","2x4 Ridge Roof Tiles Steep Sloped Black","3444-1",5,25,0,"Polybag",82,83
"3445",2000,"Bulk Bricks","Basic","","2x4 Ridge Roof Tiles Steep Sloped Red","3445-1",5,25,0,"Polybag",97,77
"3446",2000,"Bulk Bricks","Basic","","2x2 Window White","3446-1",8,25,0,"Polybag",191,83
"3447",2000,"Bulk Bricks","Basic","","1x3x4 Wall Element Transparent Blue","3447-1",8,25,0,"Polybag",107,95
"3448",2000,"Bulk Bricks","Basic","","1x4x5 Black Window Frames with Clear Panes","3448-1",9,20,0,"Polybag",147,95
"3449",2000,"Bulk Bricks","Basic","","1x4x6 Black Door and Frames with Transparent Blue Panes","3449-1",10,10,0,"Polybag",118,101
"3450",2000,"Advanced models","Model making","Landmarks","Statue of Liberty","3450-1",199,2882,0,"Box",804,2683
"3453",2000,"Bulk Bricks","Basic","","2x2 Black Bricks","3453-1",7,100,0,"Polybag",81,76
"3454",2000,"Bulk Bricks","Basic","","2x2 Light Grey Bricks","3454-1",7,100,0,"Polybag",116,81
"3455",2000,"Bulk Bricks","Basic","","2x2 White Bricks","3455-1",7,100,0,"Polybag",81,71
"3456",2000,"Bulk Bricks","Basic","","2x2 Dark Green Bricks","3456-1",7,100,0,"Polybag",71,69
