Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Action/Adventure,Art and crafts,Basic,Constraction,Educational,Girls,Historical,Junior,Licensed,Miscellaneous,Model making,Modern day,Pre-school,Racing,Technical,Vintage,{Not specified},Educational,LEGO exclusive,LEGOLAND exclusive,Not sold,Promotional,Promotional (Airline),Retail,Retail - limited,Unknown,Exclusive
10010-1,Assorted Yellow Bricks,2001,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,62,0,69,0,4.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10011-1,Assorted Blue Plates,2001,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,42,0,106,0,4.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10015-1,Green Passenger Wagon,2001,Trains,Modern day,9V,Normal,Box,1,Retail - limited,194,0,1846,3.8,19.99,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10030-1,Imperial Star Destroyer,2002,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3096,0,4193,4.6,269.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10044-1,Windows and Doors,2002,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,44,0,175,0,7.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10047-1,Arch,2002,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,36,0,104,0,5.99,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10054-1,Black Roof Tiles,2002,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,68,0,122,0,5.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10055-1,Black Roof Tiles,2002,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,50,0,89,0,5.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10062-1,Red Plates,2002,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,84,0,63,0,4.99,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10072-1,Technic Beams,2003,Bulk Bricks,Basic,Technic,Normal,Polybag,0,LEGO exclusive,56,0,95,0,9.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10073-1,Technic Bushes,2003,Bulk Bricks,Basic,Technic,Normal,Polybag,0,LEGO exclusive,130,0,111,0,9.99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10076-1,Technic Gear Wheels,2002,Bulk Bricks,Basic,Technic,Normal,Polybag,0,LEGO exclusive,39,0,144,0,12.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10078-1,Train Connection Wire,2003,Trains,Modern day,9V,Normal,Polybag,0,LEGO exclusive,1,0,332,0,8.99,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10080-1,Angel,2003,Seasonal,Miscellaneous,Christmas,Normal,Polybag,1,LEGO exclusive,33,0,608,0,2.49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10114-1,2 x 2 Sand Red Roof Tile,2001,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,100,0,66,0,7.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10115-1,Jumper Bricks,2001,Bulk Bricks,Basic,0,Normal,Polybag,0,LEGO exclusive,80,0,109,0,4.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10143-1,Death Star II,2005,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3441,0,2884,4.4,269.99,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10144-1,Sandcrawler,2005,Star Wars,Licensed,Episode IV,Normal,Box,1,LEGO exclusive,1669,11,4564,4.4,139.99,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
