Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
75-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},16,,10,0,,,
77-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},20,,11,0,,,
077-1,Pre-School Set,1975,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},21,,10,0,,0,
78-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},32,,8,0,,,
78-3,Basic Set,1975,Samsonite,Vintage,Basic set,Normal,Box,0,{Not specified},330,,10,0,,0,
133-1,Locomotive,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},87,,279,0,,0,
134-1,Mobile Crane and Wagon,1975,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,86,,252,0,,0,
136-1,Tanker Wagon,1975,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,83,,404,0,,0,
137-2,Passenger Sleeping Car,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},82,,299,0,,0,
148-1,Station,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},293,5,479,0,,0,
182-1,Train Set with Motor,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},369,,409,0,,0,
190-1,Farm Set,1975,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},526,,223,0,,0,
195-1,Airplane,1975,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},89,,145,0,,0,
222-1,Building Ideas Book,1975,Books,Miscellaneous,LEGO,Book,{Not specified},0,{Not specified},1,,695,0,,,
253-2,Helicopter and Pilot,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,49,,204,0,,0,
254-1,Family,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,103,,264,0,,0,
255-2,Farming Scene,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,120,,134,0,,0,
362-1,Windmill,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},215,2,280,0,,0,
